case_id,run_id,condition,openclaw_profile,markers_ok,raw_output_path,run_log_path,stderr_path
C1,R1,refchecker_repair,pre-refchecker-c1-r1-repair,yes,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R1/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R1/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R1/refchecker_repair/stderr.log
C1,R2,refchecker_repair,pre-refchecker-c1-r2-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R2/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R2/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R2/refchecker_repair/stderr.log
C1,R3,refchecker_repair,pre-refchecker-c1-r3-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R3/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R3/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C1/R3/refchecker_repair/stderr.log
C2,R1,refchecker_repair,pre-refchecker-c2-r1-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R1/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R1/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R1/refchecker_repair/stderr.log
C2,R2,refchecker_repair,pre-refchecker-c2-r2-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R2/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R2/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R2/refchecker_repair/stderr.log
C2,R3,refchecker_repair,pre-refchecker-c2-r3-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R3/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R3/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C2/R3/refchecker_repair/stderr.log
C3,R1,refchecker_repair,pre-refchecker-c3-r1-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R1/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R1/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R1/refchecker_repair/stderr.log
C3,R2,refchecker_repair,pre-refchecker-c3-r2-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R2/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R2/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R2/refchecker_repair/stderr.log
C3,R3,refchecker_repair,pre-refchecker-c3-r3-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R3/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R3/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C3/R3/refchecker_repair/stderr.log
C4,R1,refchecker_repair,pre-refchecker-c4-r1-repair,no,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C4/R1/refchecker_repair/output.raw.txt,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C4/R1/refchecker_repair/run.log,/Users/kaichengmao/Desktop/Project2/runs/pre_refchecker_repair/C4/R1/refchecker_repair/stderr.log
